iter	Passed	Remaining
0	174	174378
1	175	87796
2	177	58968
3	178	44505
4	179	35755
5	180	29945
6	182	25830
7	183	22774
8	184	20367
9	185	18399
10	186	16782
11	187	15441
12	188	14305
13	189	13343
14	190	12516
15	191	11779
16	192	11130
17	193	10545
18	194	10020
19	194	9549
20	195	9136
21	197	8782
22	198	8447
23	200	8135
24	201	7854
25	202	7595
26	203	7350
27	205	7120
28	206	6899
29	206	6691
30	207	6496
31	208	6319
32	209	6151
33	210	5986
34	211	5844
35	213	5715
36	214	5583
37	215	5456
38	216	5331
39	217	5211
40	217	5095
41	218	4987
42	219	4883
43	220	4784
44	220	4688
45	221	4602
46	222	4517
47	223	4438
48	224	4362
49	226	4296
50	227	4234
51	229	4176
52	230	4110
53	230	4045
54	231	3982
55	232	3921
56	233	3862
57	234	3805
58	235	3750
59	235	3696
60	236	3643
61	237	3592
62	238	3543
63	238	3495
64	239	3448
65	240	3404
66	241	3363
67	242	3325
68	243	3289
69	244	3254
70	245	3217
71	246	3182
72	247	3145
73	248	3110
74	249	3075
75	250	3040
76	250	3006
77	251	2973
78	252	2940
79	253	2909
80	253	2878
81	254	2849
82	254	2816
83	255	2787
84	256	2759
85	257	2740
86	259	2720
87	260	2697
88	261	2673
89	261	2648
90	262	2624
91	263	2602
92	264	2578
93	265	2555
94	265	2532
95	266	2510
96	267	2487
97	267	2465
98	268	2444
99	269	2423
100	269	2403
101	270	2383
102	271	2365
103	272	2351
104	274	2337
105	275	2319
106	275	2301
107	276	2283
108	277	2265
109	277	2248
110	278	2231
111	279	2215
112	280	2199
113	280	2183
114	281	2167
115	282	2151
116	282	2134
117	283	2118
118	284	2103
119	284	2088
120	285	2073
121	286	2058
122	287	2046
123	288	2036
124	289	2025
125	290	2013
126	290	1999
127	291	1987
128	292	1975
129	293	1963
130	294	1950
131	294	1938
132	295	1925
133	296	1913
134	296	1901
135	297	1889
136	298	1877
137	298	1866
138	299	1854
139	300	1843
140	300	1832
141	301	1820
142	302	1812
143	303	1804
144	304	1795
145	305	1785
146	305	1775
147	306	1764
148	307	1754
149	307	1744
150	308	1734
151	309	1725
152	309	1715
153	310	1706
154	311	1698
155	312	1689
156	312	1680
157	313	1671
158	314	1662
159	315	1653
160	315	1644
161	316	1636
162	317	1631
163	318	1624
164	319	1617
165	320	1609
166	320	1600
167	321	1593
168	322	1584
169	323	1577
170	323	1569
171	324	1561
172	325	1553
173	325	1546
174	326	1538
175	327	1531
176	327	1523
177	328	1516
178	329	1509
179	329	1502
180	330	1496
181	331	1490
182	333	1487
183	333	1480
184	334	1474
185	335	1467
186	336	1461
187	336	1454
188	337	1447
189	338	1441
190	338	1434
191	339	1428
192	340	1421
193	340	1415
194	341	1409
195	342	1403
196	342	1396
197	343	1390
198	343	1384
199	344	1379
200	345	1374
201	346	1369
202	347	1366
